A,Ca,Ce,D,I,V,class,project
0.13,0.0,8.0,0.13,1.0,1.0,org.apache.commons.lang3.time.FastDateParser$NumberStrategy,lang
0.13,0.0,8.0,0.13,1.0,1.0,org.apache.commons.lang3.time.FastDateParser$StrategyAndWidth,lang
0.13,0.0,8.0,0.13,1.0,1.0,org.apache.commons.lang3.time.FastDateParser$StrategyParser,lang
0.13,0.0,8.0,0.13,1.0,1.0,org.apache.commons.lang3.time.FastDateParser$TimeZoneStrategy,lang
0.13,0.0,8.0,0.13,1.0,1.0,org.apache.commons.lang3.time.FastDateParser$TimeZoneStrategy$TzInfo,lang
0.13,0.0,8.0,0.13,1.0,1.0,org.apache.commons.lang3.time.FastDatePrinter,lang
0.13,0.0,8.0,0.13,1.0,1.0,org.apache.commons.lang3.time.FastDatePrinter$CharacterLiteral,lang
0.13,0.0,8.0,0.13,1.0,1.0,org.apache.commons.lang3.time.FastDatePrinter$DayInWeekField,lang
0.13,0.0,8.0,0.13,1.0,1.0,org.apache.commons.lang3.time.FastDatePrinter$Iso8601_Rule,lang
0.13,0.0,8.0,0.13,1.0,1.0,org.apache.commons.lang3.time.FastDatePrinter$PaddedNumberField,lang
0.13,0.0,8.0,0.13,1.0,1.0,org.apache.commons.lang3.time.FastDatePrinter$StringLiteral,lang
0.13,0.0,8.0,0.13,1.0,1.0,org.apache.commons.lang3.time.FastDatePrinter$TextField,lang
0.13,0.0,8.0,0.13,1.0,1.0,org.apache.commons.lang3.time.FastDatePrinter$TimeZoneDisplayKey,lang
0.13,0.0,8.0,0.13,1.0,1.0,org.apache.commons.lang3.time.FastDatePrinter$TimeZoneNameRule,lang
0.13,0.0,8.0,0.13,1.0,1.0,org.apache.commons.lang3.time.FastDatePrinter$TimeZoneNumberRule,lang
0.13,0.0,8.0,0.13,1.0,1.0,org.apache.commons.lang3.time.FastDatePrinter$TwelveHourField,lang
0.13,0.0,8.0,0.13,1.0,1.0,org.apache.commons.lang3.time.FastDatePrinter$TwentyFourHourField,lang
0.13,0.0,8.0,0.13,1.0,1.0,org.apache.commons.lang3.time.FastDatePrinter$TwoDigitMonthField,lang
0.13,0.0,8.0,0.13,1.0,1.0,org.apache.commons.lang3.time.FastDatePrinter$TwoDigitNumberField,lang
0.13,0.0,8.0,0.13,1.0,1.0,org.apache.commons.lang3.time.FastDatePrinter$TwoDigitYearField,lang
0.13,0.0,8.0,0.13,1.0,1.0,org.apache.commons.lang3.time.FastDatePrinter$UnpaddedMonthField,lang
0.13,0.0,8.0,0.13,1.0,1.0,org.apache.commons.lang3.time.FastDatePrinter$UnpaddedNumberField,lang
0.13,0.0,8.0,0.13,1.0,1.0,org.apache.commons.lang3.time.FastDatePrinter$WeekYear,lang
0.13,0.0,8.0,0.13,1.0,1.0,org.apache.commons.lang3.time.FastTimeZone,lang
0.13,0.0,8.0,0.13,1.0,1.0,org.apache.commons.lang3.time.FormatCache$MultipartKey,lang
0.13,0.0,8.0,0.13,1.0,1.0,org.apache.commons.lang3.time.GmtTimeZone,lang
0.13,0.0,8.0,0.13,1.0,1.0,org.apache.commons.lang3.time.StopWatch,lang
0.13,0.0,8.0,0.13,1.0,1.0,org.apache.commons.lang3.time.StopWatch$1,lang
0.13,0.0,8.0,0.13,1.0,1.0,org.apache.commons.lang3.time.StopWatch$SplitState,lang
